Nr.,LevelID,Name,Description,Level,Ref ID
86,2.1.4.1.3.1,Material Setup - UHC,"Setup occurs when the document is ready to post, print and distribute. Inputs include the ART file, distribution method, lists of recipients and other configurable data. Includes Manage Projects and Set up and Planning. Outputs includes the Production Plan.",GroupCapability L3,421-5176-0
87,2.1.4.1.3.2,Material Delivery - UHC,"Activation includes triggering the execution of the fulfillment job – whether for print or electronic materials. Includes posting to portals, and the production, bundling and shipping of materials. Outputs include the delivery of the materials.",GroupCapability L3,421-5177-0
88,2.1.4.2,Implementation Management - UHC,"Implementation Management capability focuses on setting up customer's account in UHC systems based on the order. The implementation manager oversees the task for all areas, sets the priority, manages integration points with vendors and resolves issues to ensure that the implementation adheres to customer's expectations  and time frame guidelines.",GroupCapability L1,421-1452-0
89,2.1.4.2.1,Information Intake and Validation - UHC,Intake and validation of the customer information and purchase order for completeness and accuracy.  Evaluation criteria of completeness and accuracy is based on where the customer is on the continuum - Examples: Less complex orders should be expected to have all required pieces of information submitted where-as more complex orders will not.    This capability serves as the gateway to initiating the account set up activities.  If missing required inputs the necessary follow-ups will be triggered here to ensure account set up starts with whatever the minimum is deemed as required by where the customer is on the continuum.,GroupCapability L2,421-1453-0
90,2.1.4.2.2,Implementation Oversight - UHC,"Full visibility of the installation process steps, accountable area(s), and workflow end-to-end including data exposure to downstream areas (point of intake to operational), proactively identifying issues and ensuring that the installation of all inventory  is completed per agreed upon turn-around times.",GroupCapability L2,421-1454-0
91,2.1.4.2.3,Inventory & Resource Management- UHC,"Managing the inventory for all types of businesses including new, renewal, plan changes for processing, resource assignment and prioritization. It also includes capacity planning for resources.",GroupCapability L2,421-6390-0
92,2.1.5,Enrollment & Billing Administration - UHC,"Enrollment & Billing Administration domain encompasses capabilities related to the enrollment of all members, maintenance of their eligibility, generating and providing the accurate invoice to the customer, accepting and allocating the payments and pursuing the payments of debts for full or partial recovery and transferring the delinquent accounts to third party collection agencies.",GroupDomain L0,421-1455-0
93,2.1.5.1,Enrollment - UHC,"Enrollment capability includes receiving and loading member enrollment data in UHC systems. It also includes resolving any errors generated during this process, tracking the enrollment data and reporting as per the internal needs or as specified by the customer.",GroupCapability L1,421-1456-0
94,2.1.5.1.1,Enrollment Intake - UHC,"Receiving or retrieving enrollment data describes receiving the member enrollment information from the customer, regulatory agencies or their partners. This information can come through different methods and requires different levels of file handling and translation.",GroupCapability L2,421-1457-0
95,2.1.5.1.2,Enrollment Validation - UHC,"Validate enrollment data is the validation of the data before it is loaded on the platform. The logic for validation is predetermined and is done to ensure that the data is in the right format, meets compliance requirements and the logical errors are identified. It might include different levels of authentication or communication with the originator.",GroupCapability L2,421-1458-0
96,2.1.5.1.3,Enrollment Processing - UHC,Enroll members describes loading pre validated data to the eligibility platform. There are different ways to load the data from completely manual to full automatic methods. If there are errors in the data then the pends are created. The pends need to be worked before the enrollment of the member can be complete.,GroupCapability L2,421-1459-0
97,2.1.5.1.4,Enrollment Data Tracking - UHC,"Track enrollment data capability tracks member transactions. E.g. number of member enrolled/rejected/ pended,  file receipt dates,  transaction types and sources, date transactions sent to partners, and completion of transactions. This is a control point for the enrollment and also used for reporting to customers.",GroupCapability L2,421-1460-0
98,2.1.5.1.5,Enrollment Issue Resolution - UHC,"Researching and resolving capability deals with issues related to enrollment and eligibility. The issues can originate from the members, customers or internal areas and can be related to various causes like data discrepancy , data processing errors, incorrect information or unreadable format.",GroupCapability L2,421-1461-0
99,2.1.5.1.6,Enrollment Reporting - UHC,Create and generate reports capability ensures generation of reports that enable the right level of analysis and monitoring of the end to end enrollment processing for  internal and external usage,GroupCapability L2,421-5097-0
100,2.1.5.2,Eligibility - UHC,Maintaining member's information in the system and making appropriate changes as needed. It also includes administering audits and other control activities to ensure that eligibility is current and tied to the correct plan so claims are processed as per the benefits purchased by the member.,GroupCapability L1,421-1462-0
101,2.1.5.2.1,Eligibility Maintenance - UHC,"Maintain eligibility capability ensures that member's eligibility information is correct and updated in our systems at any given time so the revenue is calculated for the contract, providing correct level of benefits. It includes making any changes related to member’s demographics and other critical information. All adds, changes and terms are processed in our systems to reflect correct eligibility information. Eligibility reconciliation is performed as part of this capability. This capability also ensures that members are tied to the right  plans of their groups so correct benefits are adminsitered and accurate revenue is calculated. Sometimes extra measures are also taken as part of this capability to ensure that data is in sync between the systems.",GroupCapability L2,421-1463-0
102,2.1.5.2.2,Eligibility Audits - UHC,Audit capability describes auditing the eligibility information in our systems. This is done as a control to ensure the accuracy of eligibility data and to  meet regulatory and compliance requirements.,GroupCapability L2,421-1464-0
103,2.1.5.2.3,Eligibility Support Services - UHC,"Support eligibility capability includes various functions that are used to support the constituents and internal partner's eligibility related requirements and requests. It includes receiving or retrieving  member information from the customer, regulatory agencies or their partners, receiving eligibility status requests from providers and responding to those requests (270/271).",GroupCapability L2,421-1465-0
104,2.1.5.3,Membership - UHC," This capability includes managing new and existing membership data through analysis, discrepancy resolution and multiple levels of reconciliation.",GroupCapability L1,421-1466-0
105,2.1.5.3.1,Member Data Analysis - UHC,"This business capability defines the capturing of eligibility information from various sources (e.g.  Internal systems/ applications, government entities, groups, members, third parties)  to make comparisons of key data attributes . The result of this capability is the identification of control gaps and data inconsistencies that need to be researched and resolved",GroupCapability L2,421-1467-0
106,2.1.5.3.2,Potential Discrepancies Management - UHC,"This business capability  uses the  inconsistencies and control gaps identified during member data analysis and performs triage. The triage process groups the results by degree of severity (e.g. member access to care, financial risk and company reputation, service level agereement etc.), possible root causes and actions required (e.g reaching out to the customer, system and process changes needed etc.).",GroupCapability L2,421-1468-0
107,2.1.5.3.3,Member Information Reconciliation - UHC,"This business capability defines resolving  the control gaps and data inconsistencies based on source of truth information. End result of this capability is closure on member data inconsistencies and control gaps. Depending on the UHC business and customer agreement there are various methods to resolve the data inconsistencies and control gaps. Some UHC customers (e.g CMS and  state exchanges) contract vendors to act as their source of truth for data inconsistency resolution.  There are other times that UHC works directly with the customer or the  members for resolution. There are times when the resolution will result in a negative outcome for our members access to care or create a financial hardship. There are other times when the results are a negative impact to UHC financials. All results are monitored with reports and made available to the UHC Finance, Compliance and retained for audit purposes. This capability is often referred to as the attestation for M&R process for resolution with CMS.",GroupCapability L2,421-1469-0
108,2.1.5.4,Billing - UHC,"This capability includes calculating charges ( e.g. premium billing, fee billing, service fees,  self funded claims billing etc.) to be presented to the customers for payment. The functions in this capability ensure the accuracy of charges and prompt delivery.",GroupCapability L1,421-1470-0
109,2.1.5.4.1,Invoice Creation & AR Generation - UHC,"Calculating charges for bill presentment and revenue creation. The methods for calculating charges and revenue creation vary based on the business type and charge type.  The billing functions include frequency of billing, methods of payment, methods of presentment and due date of payment.  There are multiple methods used to communicate adjustment to previously billed charges. 
Generate accounts receivable includes generating the record for account receivable when the charges are created and presented.",GroupCapability L2,421-1471-0
110,2.1.5.4.2,Invoice Reconciliation - UHC,"This capability includes validating the accuracy of charges presented to the customer (e.g. rates, charge type, number of units, frequency). Frequency of the reconciliation is determined by multiple factors. For e.g.  type of the business, type of billing, service level agreements, regulatory etc.The goal of the reconciliation is to ensure charges communicated to the customer and reported to the UHC financial are accurate.",GroupCapability L2,421-1472-0
111,2.1.5.4.3,Billing Audit - UHC,"This capability includes auditing the accuracy of charges presented to the customer (e.g. rates, charge type, number of units, frequency). This capability is typically peformed by an area external to Billing . Frequency and types of audits are determined by multiple factors. For e.g.  type of the business, type of billing, service level agreements, regulatory etc.The goal of the audit is to ensure charges communicated to the customer and reported to the UHC financial are accurate.",GroupCapability L2,421-1473-0
112,2.1.5.4.4,Billing Issue Resolution & Support - UHC,"Issue resolution capability deals with researching and resolving any billing issues that occur during the invoicing and adjustments process. The issues could be identified by the system, internal teams or by the customer. Changes to eligibility, customer structure/ contracts or billing can be made as part of the issue resolution.",GroupCapability L2,421-1474-0
113,2.1.5.5,Customer Receivables Management - UHC,"This capability typically starts with recording the amount owed by the customer. Business processes included in this capability are receiving payments and applying them to billed charges, aging unpaid balances, writing offs of uncollectable balances and refunding over payments.  This capability also tracks payments made in advance (i.e. payments received before the charges are created). Some UHC businesses calculate additional charges or credits for presentment to customers (e.g. NSF charges for returned payments, discounts for prompt payments, late payment charges etc.)",GroupCapability L1,421-5098-0
114,2.1.5.5.1,Payment Loading & Balance - UHC,"Receiving customer payment information from banks, direct from customers, or from other internal entities.  Loading that information into the A/R system via system batch or online processes.  Balancing the loaded information to the control totals of the original sources.   This process varies by A/R systems today.",GroupCapability L2,421-5165-0
115,2.1.5.5.2,AR Reconciliation - UHC,"The reconciliation of AR requires matching the balances in A/R to the balances recorded in the G/L for Cash Received, Cash Applied, Refunds requested/applied, revenue and non-revenue adjustments applied to change the receivable balances, and revenue that created the receivable intially.",GroupCapability L2,421-5166-0
116,2.1.5.5.3,Exception Management - UHC,"This capability starts with establishing the rules that are used to drive automated and manual exception processing in the A/R.  Those rules drive the system and manual processes that refund excess money paid by customers, write-off uncollectible receivables, as well as the day t- day business processes for returned payments, unclaimed funds, and other adjustments as required by the business.",GroupCapability L2,421-5167-0
117,2.1.5.5.4,Delinquency Management - UHC,"Delinquency management is the process for accelerated collection of past due balances, implementing consistent consequences for non-payment of billed amounts as required by regulatory rules, and in some cases terminating contracts or reducing benefits and possibly enlisting third party vendors to continue collection efforts.",GroupCapability L2,421-5168-0
118,2.1.5.5.5,AR Audit - UHC,Auditing the accounts for cash received and posted against the invoices and the customer. These could be based of pre defined reports or done by the request.,GroupCapability L2,421-5169-0
119,2.1.5.5.6,AR Issue Resolution & Support - UHC,"This capability deals with resolving any issues that occur during the payment receiving and posting process. The issues could be identified by the system, banks, internal teams or by the customer. Change to eligibility,  customer structure/ contracts  and/ or billing changes can be made as part of it.",GroupCapability L2,421-5170-0
120,2.1.5.5.7,AR Reporting & Analytics - UHC,Generation of internal and external reports with different AR elements and performing analytics to ensure accuracy of AR and take necessary actions for the delinquent accounts,GroupCapability L2,421-5171-0
121,2.1.6,Claims Management - UHC,"Claims Management domain handles capabilities related to the intake, validation and processing of claims data to finalize the reimbursement for provider, member, employer, vendor or regulatory agency. Claims history is updated and required documents are issued for the explanation of benefits. This domain also includes identifying, processing and finalizing the  fraud, waste and abuse claims.",GroupDomain L0,421-1480-0
122,2.1.6.1,Claims Receipt - UHC,"Claims Receipt encompasses all capabilities that are related to receiving claims and validating compliance, file format and other necessary requirements. These could be the first pass claims or claims for rework. This capability also deals with resolving issues like missing/ incomplete information, errors that occur during the intake, and planning for resources.",GroupCapability L1,421-3389-0
123,2.1.6.1.1,Claims Intake - UHC,"Receiving and validating  claims, claims related information or data  for processing.",GroupCapability L2,421-5099-0
124,2.1.6.1.1.1,Claims Status Request and Response,Capability to take the request for claims status inquiry and send the response back (276/277),GroupCapability L3,421-6392-0
