Nr.,LevelID,Name,Description,Level,Ref ID
17,2.2.1.3.1,Define Scope & Stakeholders - Optum,Establish the business scope and stakeholders impacted.,GroupCapability L2,421-2645-0
18,2.2.1.3.2,Plan for Transformation - Optum,Determine the business plan for transforming the organization.,GroupCapability L2,421-2646-0
19,2.2.1.3.3,Implement Transformation Plan - Optum,Excute the organization's transformation plan.,GroupCapability L2,421-2647-0
20,2.2.1.4,Manage Acquisitions - Optum,Manage the acquisitions the organization engages in.,GroupCapability L1,421-1625-0
21,2.2.1.4.1,Plan Acquisition - Optum,Determine plan to acquire an organization.,GroupCapability L2,421-1632-0
22,2.2.1.4.2,Integrate the Acquired Entity - Optum,Plan the addition and integration of the newly acquired business entity.,GroupCapability L2,421-1633-0
23,2.2.1.4.3,Assess Post Acquisition Performance - Optum,Review of the newly acquired business to determine how it is performing.,GroupCapability L2,421-1634-0
24,2.2.1.5,Manage Quality & Compliance - Optum,"Manage quality and compliance strategy and needs, mitigate compliance risks, and set standards for organizational quality.",GroupCapability L1,421-2638-0
25,2.2.1.5.1,Manage Quality & Compliance Strategy / Needs - Optum,Maintain the proper quality and compliance standards based on needs that support the organizational strategy.,GroupCapability L2,421-2649-0
26,2.2.1.5.2,Govern Compliance Risks - Optum,Direct and guide the compliance risks for the organization.,GroupCapability L2,421-2650-0
27,2.2.1.5.3,Govern Organizational Quality - Optum,Guide and direct the organizations quality needs.,GroupCapability L2,421-2651-0
28,2.2.2,Product - Optum,"Processes that support management of product portfolio, profitability, fit with strategy, new market and product rollout plans and governing product deployment.",GroupDomain L0,421-1294-0
29,2.2.2.1,Manage Product Information & Analytics - Optum,Manage product information and analytics data.,GroupCapability L1,421-1635-0
30,2.2.2.1.1,Collect & Mine Data - Optum,Collect and mine product data for the organization.,GroupCapability L2,421-1636-0
31,2.2.2.1.2,Manage Product Regulatory Data & Filings - Optum,Manage product regulatory data and filings for organization.,GroupCapability L2,421-1637-0
32,2.2.2.1.3,Analyze Product Financials - Optum,Analyze product financial data for organization.,GroupCapability L2,421-1638-0
33,2.2.2.1.4,Provide Product Data for Consumption - Optum,Provide product data information and analytics for review.,GroupCapability L2,421-1639-0
34,2.2.2.2,Manage Product Strategy - Optum,"Manage product strategy, dependencies, and configurations.",GroupCapability L1,421-1641-0
35,2.2.2.2.1,Define & Govern Product Strategy - Optum,Define and govern the organizational product strategy.,GroupCapability L2,421-1642-0
36,2.2.2.2.2,Manage Cross Product Dependencies - Optum,Manage the cross product dependencies for the organization.,GroupCapability L2,421-1645-0
37,2.2.2.2.3,Manage Pricing Policy / Underwriting - Optum,Maintain the product pricing policy and underwriting process for the organization.,GroupCapability L2,421-1650-0
38,2.2.2.2.4,Manage Product Configuration - Optum,Manage the organizational product configuration strategy.,GroupCapability L2,421-1651-0
39,2.2.2.3,Manage Product Portfolio - Optum,"Manage product financials, lifecycle, roadmaps, innovations, and total cost of ownership.",GroupCapability L1,421-1664-0
40,2.2.2.3.1,Manage Product Financials (P&L) - Optum,Manage the organization's product financials such as profit and loss statements.,GroupCapability L2,421-2652-0
41,2.2.2.3.2,Manage Product Lifecycle (PLM) - Optum,Manage the organization's product lifecycle (PLM).,GroupCapability L2,421-2653-0
42,2.2.2.3.3,Manage Product Roadmaps - Optum,Manage the organization's product roadmaps.,GroupCapability L2,421-2654-0
43,2.2.2.3.4,Design New & Innovative Products - Optum,Design new and innovative products for the organization.,GroupCapability L2,421-2655-0
44,2.2.2.3.4.1,Design and Create Products - Optum,Design and create products for the organization.,GroupCapability L3,421-3058-0
45,2.2.2.3.4.2,Define Product Configuration - Optum,Define the product configuration for the organization.,GroupCapability L3,421-3060-0
46,2.2.2.3.5,Manage Product TCO (Cap+Op) - Optum,Manage the organization's product total cost of ownership.,GroupCapability L2,421-2656-0
47,2.2.2.3.6,Manage Product Identity,"Define the product's, uniquely identify, including sub components. Operationalization of the product taxonomy.",GroupCapability L2,421-6409-0
48,2.2.2.4,Manage Product Deployment - Optum,"Manage product communication plans, training, operational readiness, and operational support.",GroupCapability L1,421-1665-0
49,2.2.2.4.1,Manage Communication Plans - Optum,Manage the organization's product deployment communication plans.,GroupCapability L2,421-2657-0
50,2.2.2.4.2,Provide Training to Sales Force - Optum,Provide product training for Sales Force.,GroupCapability L2,421-2658-0
51,2.2.2.4.3,Manage Operational Readiness - Optum,Manage the product operational readiness.,GroupCapability L2,421-2659-0
52,2.2.2.4.4,Provide Operational Support - Optum,Provide operational support for the product and organization.,GroupCapability L2,421-2660-0
53,2.2.3,Manage Demand - Optum,"Creating and executing sales, marketing, agent/broker plans across channels and inventory management",GroupDomain L0,421-1295-0
54,2.2.3.1,Manage Sales - Optum,"Manage sales, account management, opportunities, pricing, contracting, channel strategy, sales reporting, and client relationships.",GroupCapability L1,421-1681-0
55,2.2.3.1.1,Define Sales Plan - Optum,Determine organization's sales plans.,GroupCapability L2,421-1686-0
56,2.2.3.1.1.1,Align BU/ Sales Objectives and Budgets - Optum,,GroupCapability L3,421-3340-0
57,2.2.3.1.1.2,Assign Sales Territories - Optum,,GroupCapability L3,421-3341-0
58,2.2.3.1.1.3,Develop Sales Plan to Achieve or Exceed Quote - Optum,,GroupCapability L3,421-3342-0
59,2.2.3.1.2,Perform Account Management - Optum,Maintain organization's account management needs.,GroupCapability L2,421-1687-0
60,2.2.3.1.2.1,Establish Executive Sponsorship - Optum,,GroupCapability L3,421-3359-0
61,2.2.3.1.2.2,Develop All Up View of the Client - Optum,,GroupCapability L3,421-3360-0
62,2.2.3.1.2.3,Develop Customer Conditions of Satisfaction - Optum,,GroupCapability L3,421-3361-0
63,2.2.3.1.2.4,Execute Against Customer Conditions of Satisfaction - Optum,,GroupCapability L3,421-3362-0
64,2.2.3.1.2.5,Provide Production/ Solution Support - Optum,,GroupCapability L3,421-3363-0
65,2.2.3.1.2.6,Manage Revenue - Optum,,GroupCapability L3,421-3364-0
66,2.2.3.1.2.7,Manage Risk - Optum,,GroupCapability L3,421-3365-0
67,2.2.3.1.2.8,Manage Renewals - Optum,,GroupCapability L3,421-3366-0
68,2.2.3.1.2.9,Capture & Share Sales Best Practices - Optum,,GroupCapability L3,421-3367-0
69,2.2.3.1.2.10,Interface with IT on Sales Projects & Technology Decisions - Optum,,GroupCapability L3,421-3368-0
70,2.2.3.1.2.11,Complete Acquisition Planning & Sales Integration - Optum,,GroupCapability L3,421-3369-0
71,2.2.3.1.3,Manage Opportunities - Optum,Manage the opportunities of the organization.,GroupCapability L2,421-1688-0
72,2.2.3.1.3.1,Generate Demand - Optum,,GroupCapability L3,421-3350-0
73,2.2.3.1.3.2,Prospect Customer - Optum,,GroupCapability L3,421-3351-0
74,2.2.3.1.3.3,Qualify Opportunities - Optum,,GroupCapability L3,421-3352-0
75,2.2.3.1.3.4,Develop Prototype Solutions - Optum,,GroupCapability L3,421-3353-0
76,2.2.3.1.4,Manage Proposal - Optum,Create and maintain sales proposal needs.,GroupCapability L2,421-2661-0
77,2.2.3.1.4.1,Identify Opportunity Indicators - Optum,,GroupCapability L3,421-3343-0
78,2.2.3.1.4.2,Develop Proposed Solutions - Optum,,GroupCapability L3,421-3344-0
79,2.2.3.1.4.3,Evaluate Risk Reward - Optum,,GroupCapability L3,421-3345-0
80,2.2.3.1.4.4,Demonstrate Proof - Optum,,GroupCapability L3,421-3346-0
81,2.2.3.1.5,Manage Channel Strategy - Optum,Maintain the channel strategy.,GroupCapability L2,421-2663-0
82,2.2.3.1.5.1,Develop Partner/ Channel Role in Market - Optum,,GroupCapability L3,421-3349-0
83,2.2.3.1.6,Perform Sales Reporting - Optum,Manage sales reporting needs.,GroupCapability L2,421-2664-0
84,2.2.3.1.6.1,Report Salesforce Activity - Optum,,GroupCapability L3,421-3354-0
85,2.2.3.1.6.2,Report Sales Pipeline - Optum,,GroupCapability L3,421-3355-0
86,2.2.3.1.6.3,Provide Accurate/ Timely Complete Information - Optum,,GroupCapability L3,421-3356-0
87,2.2.3.1.7,Manage Client Relationship - Optum,Maintain the organization's client relationship needs.,GroupCapability L2,421-2665-0
88,2.2.3.1.7.1,Close Business - Optum,,GroupCapability L3,421-3347-0
89,2.2.3.1.7.2,Manage Product Fulfillment - Optum,,GroupCapability L3,421-3357-0
90,2.2.3.1.7.3,Deliver Services - Optum,,GroupCapability L3,421-3358-0
91,2.2.3.3,Perform Marketing - Optum,"Perform marketing strategies, campaigns, measures and reactions, discounts and rebates.",GroupCapability L1,421-1682-0
92,2.2.3.3.1,Create Marketing Strategy - Optum,Establish the marketing strategy that organization requires.,GroupCapability L2,421-1689-0
93,2.2.3.3.1.1,Establish Marketing Objectives - Optum,,GroupCapability L3,421-3377-0
94,2.2.3.3.1.2,Evaluate Market Potential - Optum,,GroupCapability L3,421-3378-0
95,2.2.3.3.1.3,Conduct Competitor Anlaysis & Positioning - Optum,,GroupCapability L3,421-3379-0
96,2.2.3.3.1.4,Perform Customer Segmentation - Optum,,GroupCapability L3,421-3380-0
97,2.2.3.3.2,Develop & Execute Campaigns - Optum,Develop and execute campaigns for the organization's marketing sector.,GroupCapability L2,421-1690-0
98,2.2.3.3.2.1,Analyze Campaign Performance - Optum,Evaluate the organization's marketing campaign performance.,GroupCapability L3,421-2975-0
99,2.2.3.3.2.2,Manage Incentives - Optum,Manage the marketing incentives.,GroupCapability L3,421-2976-0
100,2.2.3.3.2.3,Develop/ Maintain Product Service Portfolio - Optum,,GroupCapability L3,421-3381-0
101,2.2.3.3.2.4,Develop Partner/ Channel Role in Market (TBD) - Optum,,GroupCapability L3,421-3383-0
102,2.2.3.3.2.5,Develop Product Marketing Details - Optum,,GroupCapability L3,421-3384-0
103,2.2.3.3.2.6,Develop Marketing Campaigns - Optum,,GroupCapability L3,421-3385-0
104,2.2.3.3.3,Measure & React - Optum,Measure and react to the marketing needs of the organization.,GroupCapability L2,421-2666-0
105,2.2.3.3.4,Discounts & Rebates - Optum,Performing marketing discounts and rebates.,GroupCapability L2,421-2931-0
106,2.2.3.4,"Manage Sales Professionals (Internal, Agents & Brokers) - Optum","Manage the sales professionals, recruitment and onboarding, training and certification, fees and commissions, agent and broker strategy and network.",GroupCapability L1,421-1683-0
107,2.2.3.4.1,Manage Recruitment & Onboarding - Optum,Maintain the recruitment and onboarding of sales professionals.,GroupCapability L2,421-1691-0
108,2.2.3.4.2,Manage Training & Certification - Optum,Manage the organization's sales training and certification programs.,GroupCapability L2,421-1692-0
109,2.2.3.4.3,Manage Agent / Broker Strategy - Optum,Manage the sales professional's agent and broker strategies.,GroupCapability L2,421-1694-0
110,2.2.3.4.4,Manage Agent / Broker Network - Optum,Manage the sales agent's and broker's networks.,GroupCapability L2,421-1695-0
111,2.2.4,Administer Benefits & Services - Optum,"Manage customer implementation, eligibility, enrollment, claims processing across all Optum products and services.",GroupDomain L0,421-1296-0
112,2.2.4.1,Manage Claims - Optum,"The Manage Claims business capability enables Optum to receive, adjudicate and pay claims.   A health insurance claim is a bill for health care services that health care providers submit to Optum for payment.  Fee Schedules, negotiated with our providers, regulate what we pay for a claim. Optum supports several reimbursement models, including a fixed amount by service, based on Medicare RBRVS, percent of charge, Per Diem, Pay for Performance, Case Rate, and Capitated.  Once a reimbursement amount is determined, an ACH, or EFT transaction provides payment to the doctors account.",GroupCapability L1,421-1787-0
113,2.2.4.1.1,Manage Claims Intake - Optum,"Receive paper & electronic claims.  Perform basic validations and accept or reject claim. 

Evaluate claim amount allocated for service rendered by provider as per contract.  If provider is out of network, then leverage 3rd party networks to price claim or Fee negotiation services.

Perform Contract Validation:  Confirmation of providers contracts.

Pricing Determination:  Process used to determine appropriate pricing of a claim.

Penalties and Sanctions Determination: Determine if provider penalties and sanctions exit and then adjusting the claim's allowed amount accordingly.

Adjustments Applied: Claims changes or modifications are made to the claim as needed, such as a changes to a modifier.

Amount Allowed Calculation: Based on the standard set of claims criteria (i.e. member eligibility, provider contract, services performed, type of funding stream, etc.) a base allowed amount for each claim is determined",GroupCapability L2,421-1302-0
114,2.2.4.1.1.1,Electronic Claim Process - Optum,Process to file claims electronically.,GroupCapability L3,421-1332-0
115,2.2.4.1.1.2,Paper Claim Process - Optum,Paper process to file claims.,GroupCapability L3,421-1333-0
116,2.2.4.1.1.3,Member Identification - Optum,Validate the member does exist and is active.,GroupCapability L3,421-1334-0
117,2.2.4.1.1.4,Claim Rejection - Optum,"Determine claims that don't meet necessary criteria and reject.

**Note** No claims are processed. They are sent to RxClaim and other payers.",GroupCapability L3,421-1335-0
118,2.2.4.1.2,Validate Claims Information - Optum,"Review claims data to determine
1) Claim data is valid 
2) Claim is for eligible member, patient and valid provider
3) Claim is submitted in a timely manner 
4) Apply payer defined edits 
5) Apply CMS defined edits
6) Apply pricing edits.
7) Perform industry standard audits.
8) Accept or reject claim",GroupCapability L2,421-1303-0
119,2.2.4.1.2.1,Eligibility Determination - Optum,"Confirm Patient and Provider are valid
Perform Authorization and Notification Lookup
Get Policy / Plan Data",GroupCapability L3,421-1308-0
120,2.2.4.1.2.2,Provider Demographics Acquisition - Optum,Access existing Provider demographic information from internal sources in preparation for claims validation and adjudication.,GroupCapability L3,421-1309-0
121,2.2.4.1.2.3,Service Information Validation - Optum,"Confirming service information data. (Perform HIPPA Compliance Checking, Apply Commercial & Clinical Bundling & Edits, Determine if part of Episode of Care)",GroupCapability L3,421-1310-0
122,2.2.4.1.2.4,Filing Timeliness Determination - Optum,Confirm the claim is being filed within the appropriate time frame.,GroupCapability L3,421-1311-0
123,2.2.4.1.2.5,Payer Defined Edit - Optum,"The ability to compare different values on a medical claim to a set of health plan defined criteria to check for irregularities and accuracies, often in an automated claims processing system. The end result may re-price a claim.",GroupCapability L3,421-2255-0
124,2.2.4.1.2.6,CMS Defined Edit - Optum,"This is the ability to compare different values on a medical claim to a set of nationally defined and recognized criteria (codes sets) to check for irregularities, often in an automated claims processing system. The end result may re-price a claim.",GroupCapability L3,421-2256-0
125,2.2.4.1.2.7,Pricing Edit - Optum,"The ability to apply a payer's price to a submitted claim. It typically reduces the physicians' billed charges on a submitted claim to their individually contracted maximum allowed payment. 

Most payers include “lesser of ” language in their contracts with physicians. This language allows the payer to pay the physician’s billed charges when the billed charges are less than the payment rate in the agreed upon fee schedule.",GroupCapability L3,421-2257-0
126,2.2.4.1.2.8,Industry Standard Audits - Optum,,GroupCapability L3,421-2269-0
127,2.2.4.1.3,Determine Services Rendered - Optum,"Determine Services Rendered is the evaluation of services rendered by the provider as per claim

Appropriateness of Service Determination: Is determining the appropriate  level of services performed at the correct level.
-  Determine if the Procedure Code is the appropriate code
-  Determine if the Modifier Code is the appropriate code
-  Determine if the combination of the Procedure and the

Modifier codes are appropriate
-  Perform Utilization Review
-  Perform Concurrent Care Review

Payment Policies Applied: Assess Provider Payment Policies. Determine if Coding Payment Policies apply. Assess Unsupported Billing Payment Policies. 

Duplicate Claims Determination: Process to determine if duplicate claims for the same procedure have been submitted in error.",GroupCapability L2,421-1304-0
128,2.2.4.1.3.1,Appropriateness of Service Determination - Optum,"Level of services performed at correct level.
- Determine the correct Procedure Code
- Determine the correct Modifier Code
- Determine the valid combination of Codes
- Perform Utilization Review
- Perform Concurrent Care Review",GroupCapability L3,421-1312-0
129,2.2.4.1.3.2,Payment Policies Applied - Optum,Payments submitted based on policies.,GroupCapability L3,421-1313-0
130,2.2.4.1.3.3,Duplicate Claims Determination - Optum,Process to determine duplicate claims.,GroupCapability L3,421-1314-0
131,2.2.4.1.4,Determine Benefit Coverage - Optum,"Review eligible benefits, limitations to coverage and continuation of coverage for the member along with COB.  Also determine member liability for the claim.

Coverage Determination: Process of determining if a member has primary and secondary coverages.

Limits to coverage determination: Process of determining if there are limitations that apply to across multiple coverages.

Member Liability Determination: Process to determine a member's liability.

Coordination of Benefits: Evaluation process for utilizing a member's benefits.

Continuation of Coverage Determined: COBRA determination",GroupCapability L2,421-1306-0
132,2.2.4.1.4.1,Coverage Determination - Optum,Coverage Determination: Process of determining if a member has primary and secondary coverages.,GroupCapability L3,421-1320-0
133,2.2.4.1.4.2,Limitations to Coverage Determination - Optum,Limits to coverage determination: Process of determining if there are limitations that apply to across multiple coverages.,GroupCapability L3,421-1321-0
134,2.2.4.1.4.3,Member Liability Determination - Optum,Process to determine what a member's liability is.,GroupCapability L3,421-1323-0
135,2.2.4.1.4.4,Coordination of Benefits - Optum,Evaluation process for utilizing a member's benefits.,GroupCapability L3,421-1324-0
136,2.2.4.1.4.5,Continuation of Coverage Determined - Optum,COBRA determination,GroupCapability L3,421-1938-0
137,2.2.4.1.5,Determine Allowed Amount - Optum,"Evaluate claim amount allocated for service rendered by provider as per contract.  If provider is out of network, then leverage 3rd party networks to price claim or Fee negotiation services.",GroupCapability L2,421-1305-0
138,2.2.4.1.5.1,Provider Contract Validation - Optum,Confirmation of providers contracts.,GroupCapability L3,421-1315-0
139,2.2.4.1.5.2,Pricing Determination - Optum,Process used to determine appropriate pricing.,GroupCapability L3,421-1316-0
140,2.2.4.1.5.3,Penalties & Sanctions Determination - Optum,Determine if provider penalties and sanctions exit and adjusting the claim's allowed amount accordingly,GroupCapability L3,421-1317-0
141,2.2.4.1.5.4,Adjustments Applied - Optum,Claims adjustments are administered as appropriate.,GroupCapability L3,421-1318-0
142,2.2.4.1.5.5,Amount Allowed Calculation - Optum,,GroupCapability L3,421-1319-0
143,2.2.4.1.6,Adjudicate Claims - Optum,Pay or deny claims/claim lines submitted based on benefits coverage and allowed amount.,GroupCapability L2,421-2710-0
144,2.2.4.1.6.1,Determine Provider Network Status - Optum,"Determine the providers network status (i.e. In-network, out-of-network, etc.)",GroupCapability L3,421-4881-0
145,2.2.4.1.6.3,Determine Payment - Optum,"Determine Payment: Taking into account claims verification, allowed amount and benefit coverage a payment amount is determined and a decision is made to pay or hold the payment",GroupCapability L3,421-4883-0
146,2.2.4.1.6.4,Pharmacy Electronic Claims - Optum,"Process for receiving and processing pharmacy service-provider EDI transactions - including claim billing and reversal, TrOOP reporting, FIR, and other supported transactions - and returning responses to the submitting service provider.  Includes applying all applicable edits and rules in order to properly adjudicate the transactions.",GroupCapability L3,421-5310-0
147,2.2.4.1.7,"Manage Settlement, Posting & Adjustments - Optum","Perform
1) Generate ERA 
2) Claim balancing
3) Purse management
4) Claim history updates
5) Accumulator maintenance",GroupCapability L2,421-1307-0
148,2.2.4.1.7.1,Insurance Payment Modification - Optum,Determine if this is a Predetermination Service,GroupCapability L3,421-1325-0
149,2.2.4.1.7.2,Service Line Processing Completion - Optum,"Calculate and balance the service line, calculate the sales tax",GroupCapability L3,421-1326-0
150,2.2.4.1.7.3,Claim Balancing - Optum,"Determine if Surcharges, Assessments or Withholding rules apply.  Do payer penalties or interest payments apply.",GroupCapability L3,421-1327-0
151,2.2.4.1.7.4,History Information Updating - Optum,,GroupCapability L3,421-1328-0
152,2.2.4.1.7.5,Purse Management Determination - Optum,,GroupCapability L3,421-1329-0
153,2.2.4.1.7.6,Financial Information Updating - Optum,,GroupCapability L3,421-1330-0
154,2.2.4.1.7.7,Member / Provider Response Creation - Optum,"Create appropriate response (etc. PRA, EOB, 835', Letters, Encounters)",GroupCapability L3,421-1331-0
155,2.2.4.1.7.8,Accumulator Information Updated - Optum,,GroupCapability L3,421-1939-0
156,2.2.4.1.7.9,Manage Claim Adjustments - Optum,"Process to take targeted, corrective action on previously adjudicated claims and other transactions and to take the necessary remediation action based on those results.  Includes Part D reprocessing.",GroupCapability L3,421-5314-0
157,2.2.4.1.7.10,Manage PDE - Optum,"Generation, reporting, and reconciliation of Part D Prescription Dispensing Event data for Part D encounters.  PDE is used by CMS for annual reconciliation, quality measurement, and other purposes.",GroupCapability L3,421-5315-0
158,2.2.4.1.8,Payment Integrity Identification - Optum,"Apply analytics and industry standard practices to identify suspect claims for fraud, waste and abuse.  Suspect claims are identified though Premium Audit, ICC/Subrogation and Data mining.",GroupCapability L2,421-2919-0
159,2.2.4.1.8.1,Aberrant Provider Detection - Optum,,GroupCapability L3,421-5825-0
160,2.2.4.1.8.2,Apply Policy Rules - Optum,,GroupCapability L3,421-5826-0
161,2.2.4.1.8.3,Medical Necessity and Episode of Care - Optum,,GroupCapability L3,421-5827-0
162,2.2.4.1.8.4,Manage Tips and Referrals - Optum,,GroupCapability L3,421-5828-0
163,2.2.4.1.8.5,Contract Audit - Optum,,GroupCapability L3,421-5829-0
164,2.2.4.1.8.6,Verify Member Eligibility - Optum,,GroupCapability L3,421-5830-0
165,2.2.4.1.8.7,Verify Duplicate Claim - Optum,,GroupCapability L3,421-5831-0
166,2.2.4.1.8.8,Verify ICC/Subrogation - Optum,,GroupCapability L3,421-5832-0
167,2.2.4.1.8.9,Identify Credit Balance - Optum,,GroupCapability L3,421-5833-0
168,2.2.4.1.8.10,Exploratory Data Mining,,GroupCapability L3,421-5834-0
169,2.2.4.1.9,Payment Integrity Investigation - Optum,"Investigate claims/providers to determine accurate payment.  Prospective investigations provide instructions to adjudicate claim accurately, Retrospective investigations determine amount to be recovered.",GroupCapability L2,421-2920-0
170,2.2.4.1.9.1,Triage - Optum,,GroupCapability L3,421-3017-0
171,2.2.4.1.9.2,Evaluate and Develop Case - Optum,,GroupCapability L3,421-3018-0
172,2.2.4.1.9.3,Data Mining - Optum,,GroupCapability L3,421-5835-0
173,2.2.4.1.9.4,Provider Outreach - Optum,,GroupCapability L3,421-5836-0
174,2.2.4.1.9.5,Member Outreach - Optum,,GroupCapability L3,421-5837-0
175,2.2.4.1.9.6,Review Medical Records - Optum,,GroupCapability L3,421-5838-0
176,2.2.4.1.9.7,Plaintiff/Attorney Outreach - Optum,,GroupCapability L3,421-5839-0
177,2.2.4.1.9.8,Other Carrier Outreach - Optum,,GroupCapability L3,421-5840-0
178,2.2.4.1.9.9,Group/Employer Outreach - Optum,,GroupCapability L3,421-5841-0
179,2.2.4.1.10,Payment Integrity Recovery - Optum,"Identify appropriate method for recovery from member/provider and recover amount due.  For complex cases, either negotiate and agree for settlement or pursue legal recourse.  Reconcile recovered payments and adjust corresponding claim history.",GroupCapability L2,421-2921-0
180,2.2.4.1.10.1,Negotiation and Settlement,,GroupCapability L3,421-3010-0
181,2.2.4.1.10.2,Traditional Recovery - Optum,,GroupCapability L3,421-5842-0
182,2.2.4.1.10.3,Self Service Recovery - Optum,,GroupCapability L3,421-5843-0
183,2.2.4.1.10.4,Credit Balance Recovery - Optum,,GroupCapability L3,421-5844-0
184,2.2.4.1.10.5,Manage Provider Offsets - Optum,,GroupCapability L3,421-5845-0
185,2.2.4.1.10.6,Apply Refunds to Claims - Optum,,GroupCapability L3,421-5846-0
186,2.2.4.1.10.7,Manage Accounts Receivables - Optum,,GroupCapability L3,421-5847-0
187,2.2.4.1.11,Support Point of Service Transactions - Optum,"Member makes a payment for health care services rendered and company uses equipment to process.

A “Point of Service” plan, is a type of managed care health insurance system. It combines characteristics of the Health maintenance organization (HMO) and the Preferred provider organization (PPO).

The POS is based on a managed care foundation---lower medical costs in exchange for more limited choice. But POS health insurance does differ from other managed care plans.

Enrollees in a POS plan are required to choose a primary care physician from within the health care network; this PCP becomes their ""point of service"". The PCP may make referrals outside the network, but with lesser compensation offered by the patient's health insurance company. For medical visits within the health care network, paperwork is usually completed for the patient. If the patient chooses to go outside the network, it is the patient's responsibility to fill out forms, send bills in for payment, and keep an accurate account of health care receipts.",GroupCapability L2,421-2918-0
188,2.2.4.1.12,Determine Financial Risk - Optum,Track trends in rate at which dollars are paid for claims over time.  This will help in adequately managing financial reserves set aside for claim payments.,GroupCapability L2,421-4879-0
189,2.2.4.1.13,Exception Claims Processing - Optum,"Allowance for claim processing exception (reconciliation- claim rejects, etc)",GroupCapability L2,421-5300-0
190,2.2.4.1.13.1,Offline Pharmacy Claims - Optum,"Exception processing for pharmacy claims not submitted electronically, generally for claims submitted after filing limits have been exceeded.",GroupCapability L3,421-5311-0
191,2.2.4.1.13.2,Member Pharmacy Claims - Optum,Exception process for claims submitted by members and processed for direct member reimbursement.,GroupCapability L3,421-5312-0
192,2.2.4.1.13.3,Pharmacy Subrogation Claims - Optum,Exception process for handling subrogation claims from Medicaid programs where OptumRx manages primary pharmacy coverage where reimbursement to Medicaid is the lesser of submitted cost or plan cost.  Supports reimbursement to the submitting Medicaid program or their business partner.,GroupCapability L3,421-5313-0
193,2.2.4.1.14,Claims Reporting & Analysis - Optum,"Includes Client Drug Trend Utilization and develop an analysis. Monthly, Quarterly basis. Essentially claims analytics to support clients.",GroupCapability L2,421-5301-0
194,2.2.4.1.15,Manage Member Communications - Optum,,GroupCapability L2,421-5302-0
195,2.2.4.1.15.1,Pharmacy/ Part D Benefit EOB - Optum,Generation of member Explanation of Benefits  based on current claim and other dispensing event activity.  Includes Part D EOB processing.,GroupCapability L3,421-5316-0
196,2.2.4.1.15.2,Prescription/ Part D Transition Letter - Optum,"Post adjudication processes for identifying Part D transition fill dispensing events and generating the appropriate ""Transition Letters"" as required per CMS regulations.  Supported through the application of a CMS-compliant transition policy in claims adjudication. Typically associated with the first fill during a transition period. Process ends at generating a file to be used for print but does include a closed feedback for reporting purposes to ensure that we adhere to the 72 hour SLA.",GroupCapability L3,421-5317-0
197,2.2.4.1.16,Submit Claims to Health Plan - Optum,The ability for a provider to submit claims to one or more health plans.,GroupCapability L2,421-5388-0
198,2.2.4.1.17,Appeals & Grievances - Optum,"Appeals and grievance is the business capability defined as the ability to deal with all aspect of constituent appeals and grievances. It begins with processes surrounding case intake including logging and triage. It includes research, scheduling and conducting hearings in accordance with legal requirements. Third Party reviews as needed. Documentation and formal notification of decisions.",GroupCapability L2,421-2728-0
199,2.2.4.1.17.1,Case Intake - Optum,Management of the case intake processes for appeals and grievances.,GroupCapability L3,421-2997-0
200,2.2.4.1.17.2, Review & Resolution - Optum,The review and resolution of member or consumer appeals and grievances cases.,GroupCapability L3,421-2999-0
